002A,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/002a.png,*,별표|애스터리스크 |와일드카드
002F,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/002f.png,/,슬래시|빗금 |사선
005C,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/005c.png,\,역슬래시|역빗금 |역사선
0026,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/0026.png,&,앰퍼샌드|앤드 기호
0023,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/0023.png,#,해시 기호|샵 |우물정자 |파운드 기호 |해시 |해시태그
0025,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/0025.png,%,백분율|퍼센트
2030,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2030.png,‰,천분율|퍼밀
2020,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2020.png,†,외칼표|칼표
2021,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2021.png,‡,쌍칼표|칼표
2022,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2022.png,•,글머리 기호|점
2027,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2027.png,‧,하이픈 지점|하이픈 삽입
2032,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2032.png,′,프라임
2033,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2033.png,″,더블 프라임|프라임
2034,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2034.png,‴,트리플 프라임|프라임
2038,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2038.png,‸,탈자 기호
203B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/203b.png,※,참고표
2042,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2042.png,⁂,세 별표
0060,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/0060.png,`,억음 부호|그레이브 액센트 |악상 그라브
00B4,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00b4.png,´,양음 부호|악상 테귀 |어큐트 액센트
005E,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/005e.png,^,곡절 부호|서컴플렉스 |캐럿
00A8,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00a8.png,¨,분음 부호|움라우트 |트레마
00B0,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00b0.png,°,도|도수 |시
2117,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2117.png,℗,음원 복제권|녹음 |음원 |저작권
2190,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2190.png,←,왼쪽 화살표|왼쪽 |좌측 |화살표
219A,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/219a.png,↚,사선이 있는 왼쪽 화살표
2192,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2192.png,→,오른쪽 화살표|오른쪽 |우측 |화살표
219B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/219b.png,↛,사선이 있는 오른쪽 화살표
2191,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2191.png,↑,위 화살표|위 |위쪽 |화살표
2193,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2193.png,↓,아래 화살표|아래 |아래쪽 |화살표
219C,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/219c.png,↜,물결 모양 왼쪽 화살표
21C5,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/21c5.png,⇅,위아래 화살표|위아래 |화살표
21C6,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/21c6.png,⇆,좌우 화살표|좌우 |좌우측 |화살표
21C7,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/21c7.png,⇇,왼쪽 화살표 쌍
2206,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2206.png,∆,증분|증분 기호
2207,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2207.png,∇,나블라|나블라 기호 |미분연산자
2208,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2208.png,∈,원소 포함|원소 |원소 포함 기호 |포함
2209,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2209.png,∉,원소가 아님
002B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/002b.png,+,더하기 표시|더하기 |더하다
00B1,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00b1.png,±,플러스마이너스
00F7,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00f7.png,÷,나눗셈 기호|나누기 |나누기 기호 |나눗셈
00D7,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00d7.png,×,곱셈 기호|곱셈 |곱하기 |엑스
003C,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/003c.png,<,미만|여는 태그 |태그
226E,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/226e.png,≮,작지 않음
003D,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/003d.png,=,같음|같다
2260,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2260.png,≠,같지 않음|부등
003E,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/003e.png,>,초과|닫는 태그 |태그
226F,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/226f.png,≯,크지 않음
00AC,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00ac.png,¬,부정|아님
007C,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/007c.png,|,수직선|막대 |바 |부정논리곱 |스트로크 |파이크 |파이프
007E,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/007e.png,~,물결표
2212,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2212.png,−,빼기 표시|빼기 |빼다
207B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/207b.png,⁻,마이너스 승|마이너스 |승
2213,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2213.png,∓,빼기 더하기
221A,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/221a.png,√,제곱근|거듭 |거듭제곱근 |근 |제곱
221D,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/221d.png,∝,비례함
221E,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/221e.png,∞,무한대 기호|무한대
221F,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/221f.png,∟,직각
2229,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2229.png,∩,교집합|기호
222A,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/222a.png,∪,합집합|기호
222B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/222b.png,∫,적분
2248,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2248.png,≈,거의 같음|근사
224C,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/224c.png,≌,모두 같음
2261,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2261.png,≡,등호|동일 |상등 |일치
2263,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2263.png,≣,절대적 동치
2264,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2264.png,≤,이하|같음 |같지 않음 |미만 |부등
2265,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2265.png,≥,이상|같음 |같지 않음 |부등 |초과
2266,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2266.png,≦,작거나 같음
2282,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2282.png,⊂,부분 집합|부분 |부분 집합 기호
2283,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2283.png,⊃,상위 집합
25B2,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25b2.png,▲,검은색 위쪽 삼각형|검은색 삼각형 |삼각형 |위쪽
25B3,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25b3.png,△,위쪽 방향 흰색 삼각형
25BC,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25bc.png,▼,검은색 아래쪽 삼각형|검은색 삼각형 |삼각형 |아래쪽
25BD,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25bd.png,▽,아래쪽 방향 흰색 삼각형
25CA,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25ca.png,◊,마름모|다이아몬드 모양 |마름모꼴
25CB,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25cb.png,○,빈 원|원
25CC,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25cc.png,◌,점선 테두리 원
25CF,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25cf.png,●,채워진 원|원
25D0,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25d0.png,◐,왼쪽 절반이 채워진 원
25EF,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25ef.png,◯,큰 빈 원|빈 원 |원
25F3,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/25f3.png,◳,오른쪽 위 사분면이 있는 빈 정사각형
266A,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/266a.png,♪,팔분음표|음악 |음표
2A27,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/2a27.png,⨧,아래 첨자 2가 있는 더하기 기호
266D,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/266d.png,♭,내림표|플랫
266F,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/266f.png,♯,올림표|샵
1F600,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f600.png,😀,활짝 웃는 얼굴|미소 |스마일 |얼굴 |웃음
1F603,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f603.png,😃,눈을 크게 뜨고 웃는 얼굴|미소 |스마일 |얼굴 |입 벌리고 웃는 얼굴
1F604,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f604.png,😄,미소 짓는 눈으로 활짝 웃는 얼굴|미소 |스마일 |얼굴 |입 벌리고 웃는 눈웃음 얼굴
1F601,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f601.png,😁,미소 짓는 눈으로 웃는 얼굴|눈웃음 |미소 |스마일 |얼굴
1F606,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f606.png,😆,눈웃음짓는 얼굴|눈 감고 미소 |눈 감고 웃는 얼굴 |얼굴 |입 벌리고 미소
1F605,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f605.png,😅,땀 흘리며 웃는 얼굴|미소 |스마일 |식은땀 |얼굴 |웃고 있지만 당황한 얼굴 |웃는 얼굴
1F923,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f923.png,🤣,바닥을 구르며 웃는 얼굴|구르기 |데굴데굴 |바닥 |웃음
1F602,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f602.png,😂,기쁨의 눈물을 흘리는 얼굴|기쁨 |눈물 |스마일 |얼굴
1F642,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f642.png,🙂,살짝 미소 짓는 얼굴|미소 |얼굴
